iter	Recall	Logloss
112	0.7450367647	0.1769413841
113	0.7459558824	0.1766614227
114	0.7463235294	0.1763546648
115	0.7466911765	0.1760659107
116	0.746875	0.1758424453
117	0.7474264706	0.1755858067
118	0.7479779412	0.1752550568
119	0.7481617647	0.1750298272
120	0.7483455882	0.1747995066
121	0.7479779412	0.1745134672
122	0.7476102941	0.1742885415
123	0.7487132353	0.1740532837
124	0.7487132353	0.1738801399
125	0.7492647059	0.1736463593
126	0.7498161765	0.1733899083
127	0.7507352941	0.1731665703
128	0.7514705882	0.172996318
129	0.7514705882	0.1727824353
130	0.7522058824	0.1725715157
131	0.7523897059	0.1723562233
132	0.7523897059	0.1721483448
133	0.7523897059	0.1719294572
134	0.753125	0.1717389175
135	0.753125	0.1715993348
136	0.7538602941	0.1714099541
137	0.7542279412	0.1712338177
138	0.7547794118	0.1710452207
139	0.7549632353	0.1708390956
140	0.7549632353	0.1706904904
141	0.7553308824	0.1704926867
142	0.7556985294	0.1699404256
143	0.7556985294	0.1697367881
144	0.7558823529	0.1695727289
145	0.75625	0.1693905688
146	0.75625	0.1692415774
147	0.7571691176	0.1690734439
148	0.7573529412	0.1685776573
149	0.7575367647	0.1683755877
150	0.7579044118	0.1682155337
151	0.7577205882	0.1680673627
152	0.7582720588	0.1679372274
153	0.7580882353	0.1677588814
154	0.7586397059	0.1676003878
155	0.7586397059	0.1674415978
156	0.759375	0.1673040078
157	0.759375	0.1671710332
158	0.7595588235	0.1670429794
159	0.7595588235	0.1669113008
160	0.7597426471	0.1667859984
161	0.7610294118	0.1666609794
162	0.7610294118	0.1664629365
163	0.7617647059	0.1663578721
164	0.7621323529	0.166242336
165	0.7625	0.1660889103
166	0.7630514706	0.1659680936
167	0.7632352941	0.1655085269
168	0.7632352941	0.1653955986
169	0.7632352941	0.1652483357
170	0.7634191176	0.1651669115
171	0.7634191176	0.165045791
172	0.7630514706	0.1649347817
173	0.7639705882	0.1645404315
174	0.7637867647	0.164445807
175	0.7641544118	0.1640009082
176	0.7650735294	0.1638936439
177	0.7658088235	0.1637812665
178	0.7659926471	0.1636686779
179	0.7667279412	0.1635613893
180	0.7667279412	0.1634563674
181	0.7669117647	0.1633740217
182	0.7674632353	0.1632480233
183	0.7678308824	0.1631232138
184	0.76875	0.1630361479
185	0.76875	0.1629571306
186	0.7693014706	0.1628605042
187	0.7696691176	0.1627772747
188	0.7702205882	0.1626772656
189	0.7707720588	0.1625749566
190	0.7709558824	0.1622246712
191	0.7715073529	0.162168553
192	0.7716911765	0.1620743206
193	0.7716911765	0.161976845
194	0.7727941176	0.1619049903
195	0.7729779412	0.1617900167
196	0.7737132353	0.1617199618
197	0.7733455882	0.1616464196
198	0.7737132353	0.1615620082
199	0.7738970588	0.1614864147
200	0.7740808824	0.1614151083
201	0.7742647059	0.1613306049
202	0.7748161765	0.1612527814
203	0.7748161765	0.1611720079
204	0.7755514706	0.1608726091
205	0.7755514706	0.1607935482
206	0.7757352941	0.1607351019
207	0.7757352941	0.1606592934
208	0.7766544118	0.1605859481
209	0.7768382353	0.1605205781
210	0.7772058824	0.1602211328
211	0.7773897059	0.1601465009
212	0.7775735294	0.1600830574
213	0.778125	0.160020585
214	0.7783088235	0.1599437279
215	0.7783088235	0.1598896478
216	0.7788602941	0.1598268345
217	0.7790441176	0.1597638533
218	0.7792279412	0.1596911833
219	0.7794117647	0.1596382686
220	0.7794117647	0.1595811787
221	0.7803308824	0.1595114116
222	0.7806985294	0.1594559867
223	0.7806985294	0.1594117292
224	0.7805147059	0.1593429327
225	0.78125	0.1590476799
226	0.7810661765	0.1589744665
227	0.7814338235	0.1589168593
228	0.7818014706	0.1588517712
229	0.7818014706	0.1587949164
230	0.7821691176	0.1587407109
231	0.7818014706	0.1586801495
232	0.7825367647	0.1586361215
233	0.7821691176	0.1585982794
234	0.7827205882	0.158553338
235	0.7830882353	0.1584556658
236	0.7832720588	0.1584112065
237	0.7834558824	0.1583536398
238	0.7841911765	0.1583045781
239	0.7851102941	0.158077924
240	0.7847426471	0.1580364098
241	0.7849264706	0.1577615109
242	0.7851102941	0.1577174818
243	0.7851102941	0.1576693827
244	0.7862132353	0.1576069509
245	0.7863970588	0.1573819341
246	0.7863970588	0.1573581077
247	0.7867647059	0.1573141437
248	0.7867647059	0.1572559887
249	0.7869485294	0.1572185451
250	0.7869485294	0.1571717944
251	0.7873161765	0.1571081562
252	0.7876838235	0.1570509807
253	0.7876838235	0.1568350044
254	0.7876838235	0.1567854924
255	0.7882352941	0.1567325108
256	0.7882352941	0.1567031651
257	0.7886029412	0.1566778487
258	0.7886029412	0.1564691255
259	0.7887867647	0.1562874606
260	0.7889705882	0.1562440239
261	0.7891544118	0.1560691573
262	0.7891544118	0.1560228331
263	0.7891544118	0.1559697476
264	0.7895220588	0.1559343625
265	0.7897058824	0.1557567737
266	0.7900735294	0.1557119045
267	0.7900735294	0.1556637094
268	0.7904411765	0.1556111459
269	0.790625	0.1555718934
270	0.7908088235	0.1555361014
271	0.7908088235	0.1554765634
272	0.7904411765	0.1554327864
273	0.7909926471	0.1553945851
274	0.7911764706	0.1553590153
275	0.7913602941	0.1553091275
276	0.7915441176	0.1552632393
277	0.7917279412	0.1552394248
278	0.7919117647	0.1551914702
279	0.7922794118	0.1551592652
280	0.7922794118	0.1551203055
281	0.7926470588	0.1550883097
282	0.7928308824	0.1550495645
283	0.7930147059	0.1550265268
284	0.7930147059	0.1549824048
285	0.7930147059	0.154945477
286	0.7931985294	0.1547857791
287	0.7933823529	0.1547504169
288	0.7935661765	0.1547174484
289	0.7935661765	0.1546904016
290	0.7935661765	0.1546606831
291	0.79375	0.1546196629
292	0.7941176471	0.1544652543
293	0.7943014706	0.1544212675
294	0.7941176471	0.1543937114
295	0.7943014706	0.1543797061
296	0.7943014706	0.1543549255
297	0.7946691176	0.1543140369
298	0.7946691176	0.1542839662
299	0.7950367647	0.1542538446
300	0.7957720588	0.1541020613
301	0.7957720588	0.1540466687
302	0.7961397059	0.1539904394
303	0.7963235294	0.1539556867
304	0.7963235294	0.1539100372
305	0.7963235294	0.1538836986
306	0.7961397059	0.1538559007
307	0.7963235294	0.1538293297
308	0.7963235294	0.1538012856
309	0.7963235294	0.1536699634
310	0.796875	0.1536255872
311	0.7970588235	0.1536001051
312	0.7970588235	0.1535833055
313	0.7972426471	0.1535290945
314	0.7972426471	0.1534938126
315	0.7974264706	0.153449151
316	0.7974264706	0.1534268331
317	0.7979779412	0.1533810162
318	0.7983455882	0.153359451
319	0.7985294118	0.1533379435
320	0.7987132353	0.1531921169
321	0.7988970588	0.1531600122
322	0.7988970588	0.1531205463
323	0.7988970588	0.1529894914
324	0.7988970588	0.152954263
325	0.7990808824	0.1529281466
326	0.7992647059	0.1528846477
327	0.7992647059	0.1528550084
328	0.7994485294	0.1528323914
329	0.7992647059	0.1528141082
330	0.7996323529	0.1527702307
331	0.7996323529	0.1527621785
332	0.8	0.1527381247
333	0.8001838235	0.1527046798
334	0.8001838235	0.1526801575
335	0.8001838235	0.1526622039
336	0.8001838235	0.1526293438
337	0.8001838235	0.1526125767
338	0.8001838235	0.1525958937
339	0.8003676471	0.152577589
340	0.8001838235	0.1525508044
341	0.8005514706	0.1525170611
342	0.8005514706	0.1524772499
343	0.8005514706	0.1523509738
344	0.8007352941	0.1523284588
345	0.8007352941	0.1522771659
346	0.8007352941	0.1522480007
347	0.8009191176	0.152127632
348	0.8009191176	0.1520993685
349	0.8011029412	0.1520750966
350	0.8012867647	0.1520547866
351	0.8012867647	0.1520304364
352	0.8012867647	0.1520162171
353	0.8016544118	0.1518900442
354	0.8016544118	0.1518608257
355	0.8020220588	0.1518368969
356	0.8020220588	0.1518168175
357	0.8023897059	0.1517032067
358	0.8023897059	0.1516680283
359	0.8022058824	0.1516398759
360	0.8022058824	0.1516051637
361	0.8025735294	0.1515803208
362	0.8029411765	0.1515593594
363	0.8029411765	0.1515250258
364	0.8029411765	0.151501297
365	0.8033088235	0.1513922681
366	0.8034926471	0.1513702673
367	0.8034926471	0.1513461503
368	0.8036764706	0.1513285454
369	0.8038602941	0.1512405319
370	0.8036764706	0.1512234021
371	0.8034926471	0.1512107287
372	0.8036764706	0.151118114
373	0.8036764706	0.1510976893
374	0.8036764706	0.1510768128
375	0.8036764706	0.1510676113
376	0.8042279412	0.1510472084
377	0.8040441176	0.1510072317
378	0.8040441176	0.150917148
379	0.8042279412	0.1509015379
380	0.8045955882	0.1508811338
381	0.8045955882	0.150856441
382	0.8045955882	0.1508367672
383	0.8044117647	0.1508130771
384	0.8047794118	0.1507991446
385	0.8047794118	0.1507772079
386	0.8047794118	0.1507487368
387	0.8047794118	0.1507223939
388	0.8049632353	0.1506385357
389	0.8051470588	0.1506182776
390	0.8051470588	0.1505902389
391	0.8051470588	0.1505689604
392	0.8053308824	0.150540758
393	0.8051470588	0.150495393
394	0.8053308824	0.1504740042
395	0.8053308824	0.1504434221
396	0.8055147059	0.150426549
397	0.80625	0.1503893959
398	0.80625	0.1503631859
399	0.8060661765	0.1502790332
400	0.8064338235	0.1502475267
401	0.8066176471	0.1502219603
402	0.8068014706	0.1502031879
403	0.8068014706	0.1501849211
404	0.8069852941	0.1501522343
405	0.8069852941	0.1501291799
406	0.8073529412	0.1501013911
407	0.8071691176	0.1500752957
408	0.8071691176	0.1500076304
409	0.8075367647	0.1499792004
410	0.8075367647	0.1499615696
411	0.8079044118	0.1499399091
412	0.8079044118	0.1498675722
413	0.8079044118	0.1498545787
414	0.8079044118	0.1498436906
415	0.8077205882	0.1498255286
416	0.8082720588	0.1498021559
417	0.8082720588	0.1497920653
418	0.8082720588	0.1497670398
419	0.8086397059	0.14972854
420	0.8088235294	0.1497059232
421	0.8090073529	0.1496852682
422	0.8090073529	0.1496709835
423	0.8091911765	0.149652841
424	0.8091911765	0.1496263502
425	0.8091911765	0.1496062294
426	0.8091911765	0.1495750234
427	0.8095588235	0.1494857086
428	0.8095588235	0.1494712909
429	0.8095588235	0.1493784471
430	0.8097426471	0.149298919
431	0.8097426471	0.1492328469
432	0.8097426471	0.1491561869
433	0.8097426471	0.1491264505
434	0.8099264706	0.1491128501
435	0.8099264706	0.1490942351
436	0.8101102941	0.1490772831
437	0.8102941176	0.1490643413
438	0.8106617647	0.1490441637
439	0.8108455882	0.1490245125
440	0.8104779412	0.1489974298
441	0.8106617647	0.1489799053
442	0.8108455882	0.1489673665
443	0.8106617647	0.1489108953
444	0.8108455882	0.1488985168
445	0.8110294118	0.1488856727
446	0.8110294118	0.1488722212
447	0.8110294118	0.1488465121
448	0.8110294118	0.1488325081
449	0.8110294118	0.1488172084
450	0.8113970588	0.1487942047
451	0.8113970588	0.1487781284
452	0.8113970588	0.148763611
453	0.8113970588	0.1487426344
454	0.8115808824	0.1487231597
455	0.8119485294	0.1486987505
456	0.8117647059	0.1486850734
457	0.8117647059	0.1486771942
458	0.8117647059	0.1486643336
459	0.8117647059	0.1486428854
460	0.8119485294	0.1485769583
461	0.8123161765	0.1485617653
462	0.8123161765	0.1485495035
463	0.8125	0.1485329529
464	0.8125	0.1485225206
465	0.8125	0.1485065352
466	0.8125	0.148492446
467	0.8125	0.1484731515
468	0.8125	0.1484207031
469	0.8125	0.1484051079
470	0.8126838235	0.1483956913
471	0.8132352941	0.1483641649
472	0.8132352941	0.1483509304
473	0.8132352941	0.1483295996
474	0.8132352941	0.1483208284
475	0.8132352941	0.1483078524
476	0.8130514706	0.1482930471
477	0.8128676471	0.1482858226
478	0.8126838235	0.1482537334
479	0.8132352941	0.1482292194
480	0.8132352941	0.1482202741
481	0.8130514706	0.1482080468
482	0.8130514706	0.1481946295
483	0.8132352941	0.1481799178
484	0.8132352941	0.1481586586
485	0.8134191176	0.1481405703
486	0.8134191176	0.1481215561
487	0.8136029412	0.148109324
488	0.8139705882	0.1480967597
489	0.8139705882	0.1480774683
490	0.8139705882	0.1480546656
491	0.8139705882	0.1480295153
492	0.8141544118	0.1480205549
493	0.8137867647	0.1479862091
494	0.8137867647	0.1479368953
495	0.8141544118	0.1479182509
496	0.8141544118	0.1478998779
497	0.8141544118	0.1478847369
498	0.8141544118	0.1478702278
499	0.8143382353	0.1478594697
